java.util.List.iterator(),HashSet.Iterator()__IList.Iterator()
java.util.Map.get(Object),IDictionary.Get()__iText.Layout.Font.FontSet.Get(String)__WindowsMetrics.Get()__HashMap.Get()__IO.Get()__var.get()__Transport.Get()__FileInfo.Get()
java.lang.Thread.setDaemon(boolean),Sharpen.Lang.Thread.SetDaemon(bool)
java.lang.StringBuffer.append(boolean),System.Text.StringBuilder.Append(byte)__char.Append()
java.util.LinkedList.removeLast(),List.RemoveLast()
java.util.WeakHashMap.get(Object),Reference.Get()__Db4objects.Db4o.Internal.Query.Result.IQueryResult.Get(int)__LRUHashMap.Get()
java.util.StringTokenizer.nextToken(String),iText.IO.Util.StringTokenizer.NextToken(String)__StringTokenizer.nextToken()
java.math.BigInteger.bitLength(),NPOI.Util.BigInteger.BitLength()
java.util.TreeMap.get(Object),Transport.Get()
java.util.IdentityHashMap.get(Object),IdentityHashMap.get()__Db4objects.Db4o.Foundation.Collection4.Get(object)
java.net.Socket.getOutputStream(),NGit.Storage.File.LockFile.GetOutputStream()
"java.util.List.set(int,E)","Db4objects.Db4o.Foundation.BitMap4.Set(int,bool)"
java.io.OutputStream.write(byte),"Sharpen.OutputStream.Write(int)__System.IO.Stream.Write(byte,int,int)__System.IO.BinaryWriter.Write(int)__PacketLineIn.Write()__Sharpen.DigestOutputStream.Write(int)"
"java.util.concurrent.ConcurrentHashMap.remove(Object,Object)",NPOI.POIFS.FileSystem.NPOIFSFileSystem.Remove(EntryNode)__NPOI.POIFS.FileSystem.POIFSFileSystem.Remove(EntryNode)__Sharpen.Iterator.Remove()__System.Collections.Generic.SortedList.Remove(TKey)__System.Collections.Generic.Dictionary.Remove(TKey)__Sharpen.TreeSet.Remove(object)
java.util.concurrent.ConcurrentHashMap.get(Object),Reference.Get()__RepositoryCache.Get()
java.util.concurrent.atomic.AtomicInteger.getAndAdd(int),Sharpen.AtomicInteger.GetAndAdd(int)
java.io.OutputStreamWriter.write(int),System.IO.StreamWriter.Write(char)__OutputStreamWriter.Write()__ByteArrayOutputStream.Write()
java.util.StringTokenizer.hasMoreTokens(),iText.IO.Util.StringTokenizer.HasMoreTokens()__Antlr.Runtime.JavaExtensions.StringTokenizer.hasMoreTokens()
java.util.PriorityQueue.peek(),var.Peek()
java.text.BreakIterator.setText(String),"BreakIterator.SetText()__Lucene.Net.Analysis.Util.CharArrayIterator.SetText(char,int,int)"
"java.lang.String.startsWith(String,int)","string.StartsWith()__System.String.StartsWith(String,StringComparison)__Version.StartsWith()__Item.StartsWith()__int.StartsWith()"
java.add(),Element.Add()__System.Collections.Generic.IList.Add(Object)__Type4.Add()__iText.Layout.Document.Add(AreaBreak)__iText.Layout.Element.List.Add(ListItem)
java.io.InputStream.markSupported(),MutableObjectId.MarkSupported()
java.security.DigestOutputStream.write(int),"Sharpen.DigestOutputStream.Write(int)__NGit.Dircache.DirCacheEntry.Write(OutputStream)__NGit.Dircache.DirCacheTree.Write(byte,OutputStream)"
"java.io.DataInputStream.readFully(byte,int,int)",BinaryReader.ReadFully()
java.io.ByteArrayOutputStream.writeTo(OutputStream),System.IO.MemoryStream.WriteTo(Stream)
java.util.zip.Inflater.reset(),ICSharpCode.Reset()__Deflater.Reset()
java.util.concurrent.atomic.AtomicInteger.set(int),Lucene.Net.Support.AtomicInteger.Set(int)__Lucene.Net.Support.AtomicLong.Set(int)
java.util.concurrent.Semaphore.release(int),AtomicInteger.Release()
java.util.List.equals(Object),Lucene.Net.Search.BooleanQuery.Equals(object)__float.Equals()__iText.Layout.Font.FontCharacteristics.Equals(Object)__ITypeHandler4.Equals()__Db4objects.Equals()__IMethodRef.Equals()__ITypeRef.Equals()__ValueSource.Equals()__Db4objects.Db4o.Internal.Btree.BTreeNode.Equals(object)__RewriteMethod.Equals()__PdfPattern.Equals()
java.util.zip.ZipOutputStream.close(),ZipOutputStream.Close()__LineNumberReader.close()__FileStream.Close()__OutputStream.close()
java.util.BitSet.andNot(BitSet),Lucene.Net.Util.LongBitSet.AndNot(LongBitSet)
java.lang.reflect.Constructor.newInstance(Object),byte.NewInstance()
java.io.DataOutput.writeByte(int),DataOutput.WriteByte()
java.awt.geom.AffineTransform.rotate(double),AffineTransform.rotate()
java.io.PrintStream.print(float),PrintStream.print()
java.math.BigDecimal.compareTo(BigDecimal),decimal.CompareTo()
java.io.InputStream.read(byte),"System.IO.Stream.Read(byte,int,int)__MutableObjectId.Read()__Sharpen.InputStream.Read()__InputStream.Read()__Sharpen.Read()__System.IO.MemoryStream.Read(byte,int,int)__FileInputStream.Read()__FileStream.Read()__iText.IO.Source.RandomAccessFileOrArray.Read(byte,int,int)__System.IO.BinaryReader.Read(char,int,int)__int.Read()"
java.util.regex.Matcher.reset(CharSequence),Matcher.reset()__Sharpen.Matcher.Reset(string)
java.util.concurrent.atomic.AtomicLong.set(long),Lucene.Net.Support.AtomicLong.Set(int)__Lucene.Net.Support.AtomicInteger.Set(int)
java.io.StreamTokenizer.nextToken(),var.NextToken()__StringTokenizer.nextToken()
java.math.BigInteger.equals(Object),NPOI.Util.BigInteger.Equals(object)
java.io.StringReader.read(),NGit.Config.Read()
"java.util.BitSet.set(int,int,boolean)","System.Collections.System.Collections.Generic.BitArray.Set(int,bool)__NoteBucket.Set()"
java.read(),"int.Read()__System.IO.TextReader.Read()__System.util.zlib.ZInflaterInputStream.Read(byte,int,int)__System.IO.MemoryStream.Read(byte,int,int)__FileStream.Read()"
java.awt.Point.equals(Object),Point.Equals()__MultiPoint.Equals()__TreePattern.Equals()__LineString.Equals()__Analyzer.Equals()
java.io.RandomAccessFile.readFully(byte),"Sharpen.RandomAccessFile.ReadFully(byte,int,int)"
"java.io.RandomAccessFile.read(byte,int,int)","Sharpen.RandomAccessFile.Read(byte)__Sharpen.IO.RandomAccessFile.Read(byte)__FileStream.Read()__IBin.Read()__InputStream.Read()__iText.IO.Source.RandomAccessFileOrArray.Read(byte,int,int)"
java.util.Deque.add(E),"TableRenderer.Add()__NetMQ.Core.Patterns.Utils.MultiTrie.Add(byte,int,int,Pipe)"
java.util.Collection.contains(Object),System.Collections.Generic.ICollection.Contains(T)__NGit.ObjectIdSubclassMap.Contains(AnyObjectId)__ReadOnlyCollection.Contains()
java.lang.Long.equals(Object),long.Equals()
"java.util.Calendar.set(int,int,int,int,int,int)",JavaCalendar.Set()
java.io.DataInputStream.read(byte),"System.IO.BinaryReader.Read(char,int,int)__InflaterInputStream.Read()__System.util.zlib.ZInflaterInputStream.Read(byte,int,int)__NPOI.XSSF.Util.EvilUnclosedBRFixingInputStream.Read(byte)"
java.util.IdentityHashMap.containsKey(Object),IdentityHashMap.ContainsKey()
java.util.concurrent.atomic.AtomicBoolean.set(boolean),Sharpen.AtomicBoolean.Set(bool)__Lucene.Net.Support.AtomicBoolean.Set(bool)
java.util.Properties.load(Reader),iText.IO.Util.Properties.Load(Stream)
java.util.Random.nextLong(),Random.NextLong()
java.util.Collection.clear(),System.Collections.Generic.ICollection.Clear()__ICollectionInitializer.Clear()
java.net.Socket.getPort(),Sharpen.GetPort()
java.util.Random.nextDouble(),Random.NextDouble()
java.util.Set.add(E),"System.Collections.Generic.ISet.Add(T)__System.Collections.Generic.ICollection.Add(T)__System.Collections.Generic.HashSet.Add(T)__System.Collections.Hashtable.Add(Object,Object)__System.Data.Common.Utils.Set.Add(TElement)__AtomicReference.Add()__System.Collections.Generic.SortedSet.Add(T)__var.Add()__bool.Add()__Org.BouncyCastle.Utilities.Collections.HashSet.Add(object)"
java.util.Collection.isEmpty(),ICollection.IsEmpty()__ResetType.IsEmpty()__Transport.IsEmpty()__IDictionary.IsEmpty()__NGit.ObjectIdSubclassMap.IsEmpty()__List.IsEmpty()__HashSet.IsEmpty()
java.lang.String.contains(CharSequence),System.String.Contains(string)__string.Contains()__IGeometry.Contains()
java.math.BigInteger.intValue(),NPOI.Util.BigInteger.IntValue()
java.lang.ThreadLocal.remove(ThreadLocal),System.Collections.Generic.Dictionary.Remove(TKey)
"java.util.concurrent.CountDownLatch.await(long,TimeUnit)",CountDownLatch.await()
java.util.List.listIterator(),IList.ListIterator()
java.util.HashSet.size(),Lucene.Net.Util.SentinelIntSet.Size()
"java.security.MessageDigest.update(byte,int,int)","Org.BouncyCastle.Crypto.IDigest.Update(byte)__MessageDigest.Update()__BlockList.Update()__MessageDigest.update()__byte.Update()__Org.BouncyCastle.Crypto.ISigner.Update(byte)__iText.Kernel.Crypto.AESCipher.Update(byte,int,int)"
java.text.Format.format(Object),"NPOI.SS.Util.FormatBase.Format(Object,StringBuilder,int)__Sharpen.SimpleDateFormat.Format(DateTime)"
"java.text.SimpleDateFormat.parse(String,ParsePosition)",SimpleDateFormat.Parse()
java.util.LinkedHashMap.remove(),System.Web.Util.OrderedDictionary.Remove(TKey)
"java.util.concurrent.atomic.AtomicInteger.compareAndSet(int,int)","Lucene.Net.Support.AtomicInteger.CompareAndSet(int,int)"
java.io.ByteArrayOutputStream.close(),ByteArrayOutputStream.Close()__MemoryStream.Close()__System.Xml.XmlWriter.Close()__ZipInputStream.Close()__TransportObjectContainer.Close()
java.util.LinkedList.removeFirst(),List.RemoveFirst()__System.Collections.Generic.LinkedList.RemoveFirst()
java.lang.Thread.setName(String),Sharpen.Lang.Thread.SetName(string)
java.util.logging.Logger.info(String),iText.IO.Log.ILogger.Info(String)
java.lang.Class.newInstance(),Type.newInstance()__Class.newInstance()
"java.util.regex.Pattern.split(CharSequence,int)","System.Text.RegularExpressions.Regex.Split(string,int)"
java.io.ByteArrayOutputStream.size(),Sharpen.ByteArrayOutputStream.Size()
java.util.Map.equals(Object),FieldCache.Equals()__IIntParser.Equals()__IDictionary.Equals()__KeyValuePair.Equals()__Antlr3.Analysis.SemanticContext.Equals(SemanticContext)__Expression.Equals()__ValueSource.Equals()__ExtendedFormatRecord.Equals()__ByteRunAutomaton.Equals()__Lucene.Net.Expressions.ExpressionValueSource.Equals(object)__MergeInfo.Equals()__CellReference.Equals()
java.util.NavigableMap.higherEntry(K),SortedDictionary.HigherEntry()
java.util.ArrayList.contains(Object),System.Collections.ArrayList.Contains(Object)
"java.util.zip.ZipInputStream.read(byte,int,int)","ZipInputStream.Read()__InflaterInputStream.Read()__System.IO.BinaryReader.Read(char,int,int)__NPOI.XSSF.Util.EvilUnclosedBRFixingInputStream.Read(byte)__System.util.zlib.ZInflaterInputStream.Read(byte,int,int)"
java.util.TreeMap.clear(),System.Collections.Generic.SortedDictionary.Clear()__System.Collections.Generic.SortedList.Clear()
java.util.regex.Matcher.end(int),Matcher.end()
java.util.List.indexOf(Object),"System.Collections.Generic.List.IndexOf(T,int)__System.Collections.Generic.IList.IndexOf(Object)"
java.nio.charset.Charset.equals(Object),System.Equals()
"java.util.zip.ZipOutputStream.write(byte,int,int)",ZipOutputStream.Write()
java.util.Map.entrySet(),IDictionary.EntrySet()__Transport.EntrySet()
java.util.HashSet.add(E),Org.BouncyCastle.Utilities.Collections.HashSet.Add(object)__System.Collections.Generic.HashSet.Add(T)__Sharpen.Util.HashSet.Add(object)__int.Add()
java.io.InputStream.reset(),Sharpen.InputStream.Reset()__MutableObjectId.Reset()
java.util.Set.containsAll(Collection),Db4objects.ContainsAll()
java.math.BigDecimal.add(BigDecimal),HandCoded.Xml.MutableNodeList.Add(XmlNode)
java.util.Set.iterator(),Dictionary.Iterator()
java.util.zip.Deflater.setInput(byte),"System.IO.Compression.Deflater.SetInput(byte,int)"
java.util.Set.size(),Terms.Size()__ScoreTermQueue.Size()
java.util.TreeMap.toString(),List.ToString()__KeyValuePair.ToString()
java.util.Date.getTime(),DateTime.GetTime()
java.io.BufferedOutputStream.flush(),Sharpen.IO.BufferedOutputStream.Flush()__iText.IO.Codec.LZWCompressor.Flush()
java.util.LinkedList.addAll(Collection),SortedSet.AddAll()__CharArraySet.addAll()
java.lang.StringBuilder.reverse(),StringBuilder.Reverse()
java.math.BigInteger.shiftLeft(int),NPOI.Util.BigInteger.ShiftLeft(int)
java.util.TreeMap.entrySet(),CharArrayMap.entrySet()
"java.lang.String.indexOf(String,int)","System.String.IndexOf(String,int,StringComparison)__string.IndexOf()__StringBuilder.IndexOf()__DrillDownQuery.IndexOf()"
java.util.TreeSet.contains(Object),System.Collections.Generic.List.Contains(T)__System.Collections.Generic.LinkedList.Contains(T)__bool.Contains()__Dictionary.Contains()__NPOI.Util.Collections.HashSet.Contains(T)
java.peek(),var.Peek()
java.lang.ThreadLocal.get(),ThreadLocal.Get()__BufferedReader.Get()
java.lang.StringBuilder.append(boolean),System.Text.StringBuilder.Append(byte)__Version.Append()__var.Append()__byte.Append()__HTMLStripCharFilter.Append()__IList.Append()__StringBuffer.Append()
java.util.Set.addAll(Collection),ISet.addAll()__ICollection.AddAll()__SortedSet.AddAll()__HashSet.AddAll()__PdfDictionary.AddAll()
"java.util.concurrent.atomic.AtomicReferenceArray.compareAndSet(int,E,E)",ReferenceQueue.CompareAndSet()
java.util.regex.Matcher.find(int),Matcher.find()
java.nio.channels.FileChannel.write(ByteBuffer),"Sharpen.FileChannel.Write(ByteBuffer)__FileOutputStream.Write()__FilePath.Write()__IO.Write()__System.IO.MemoryStream.Write(byte,int,int)"
java.io.PrintStream.flush(),"System.IO.StreamWriter.Flush(bool,bool)__System.IO.TextWriter.Flush()"
java.util.concurrent.locks.Lock.unlock(),Lucene.Net.Support.ReentrantLock.Unlock()__ThreadState.Unlock()__Sharpen.ReentrantLock.Unlock()
java.util.ArrayList.add(E),iText.Layout.Element.List.Add(ListItem)__System.Collections.Generic.List.Add(T)__System.Collections.ArrayList.Add(Object)
java.util.LinkedList.getFirst(),List.GetFirst()
"java.util.zip.Inflater.inflate(byte,int,int)","System.IO.Compression.Inflater.Inflate(byte,int,int)"
java.io.FileOutputStream.close(),FilePath.Close()__NumberToTextConversionExamples.Close()__FileOutputStream.Close()__ISheet.Close()__FileStream.Close()__BufferedStream.Close()__NPOI.HSSF.UserModel.HSSFWorkbook.Close()__MemoryStream.Close()__InputStream.Close()__NGit.ObjectStream.Close()__Sharpen.IO.RandomAccessFile.Close()
java.util.ArrayList.clone(),System.Collections.ArrayList.Clone()
java.util.concurrent.atomic.AtomicLong.addAndGet(long),bool.AddAndGet()__AtomicLong.AddAndGet()__Lucene.Net.Support.AtomicInteger.AddAndGet(int)
"java.awt.geom.AffineTransform.translate(double,double)","iText.Kernel.Geom.AffineTransform.Translate(double,double)__AffineTransform.translate()"
java.util.IdentityHashMap.remove(),IdentityHashMap.Remove()
java.io.BufferedReader.readLine(boolean),System.IO.TextReader.ReadLine()__BufferedReader.ReadLine()__HttpObjectDB.ReadLine()__System.IO.StreamReader.ReadLine()__LineNumberReader.readLine()__System.ReadLine()
java.util.LinkedHashMap.clear(),Org.BouncyCastle.Utilities.Collections.LinkedDictionary.Clear()
java.util.HashSet.contains(Object),System.Collections.ArrayList.Contains(Object)__ISet.Contains()__System.Collections.Generic.LinkedList.Contains(T)__System.Collections.Generic.HashSet.Contains(T)__System.Collections.Generic.List.Contains(T)__Lucene.Net.Index.SegmentInfos.Contains(SegmentCommitInfo)__Document.Contains()__System.Collections.Generic.ICollection.Contains(T)__System.Collections.Hashtable.Contains(Object)__System.String.Contains(string)__System.Collections.Generic.IDictionary.Contains(Object)
java.set(),"Lucene.Net.Util.LongBitSet.Set(long,long)"
java.util.Random.nextFloat(),Random.NextFloat()
java.util.Stack.peek(),System.Collections.Generic.Stack.Peek()__var.Peek()
"java.util.zip.Inflater.setInput(byte,int,int)","System.IO.Compression.Inflater.SetInput(byte,int,int)"
"java.lang.String.replace(char,char)","System.String.Replace(char,char)__Patch.Replace()__string.Replace()"
java.util.concurrent.atomic.AtomicInteger.incrementAndGet(),AtomicInteger.IncrementAndGet()__Sharpen.AtomicInteger.IncrementAndGet()
java.lang.String.compareTo(String),string.CompareTo()__System.String.CompareTo(Object)__HandCoded.Finance.TimeValue.CompareTo(TimeValue)__HandCoded.Finance.DateValue.CompareTo(object)
java.util.Vector.iterator(),HashSet.Iterator()
java.util.List.get(int),"Lucene.Net.Util.BytesRefArray.Get(BytesRef,int)"
"java.util.logging.Logger.log(Level,String,Object)","NGit.Storage.File.RefDirectory.Log(RefUpdate,string,bool)"
java.awt.Font.toString(),Font.toString()__SpreadsheetVersion.ToString()
java.awt.FontMetrics.charWidth(int),FontMetrics.charWidth()
java.awt.FontMetrics.getFont(),FontMetrics.GetFont()__EscherGraphics2d.GetFont()__NPOI.GetFont()
java.awt.geom.AffineTransform.createTransformedShape(Shape),AffineTransform.CreateTransformedShape()
java.awt.geom.Point2D.getX(),var.GetX()
java.awt.geom.Point2D.getY(),var.GetY()
java.cardinality(),BitArray.Cardinality()__Lucene.Net.Util.LongBitSet.Cardinality()
java.flush(),System.IO.TextWriter.Flush()__Sharpen.PrintWriter.Flush()__ISocket4.Flush()
java.io.BufferedInputStream.close(),Sharpen.IO.BufferedInputStream.Close()__Sharpen.IO.BufferedOutputStream.Close()
java.io.BufferedInputStream.mark(int),BufferedInputStream.Mark()
"java.io.BufferedOutputStream.write(byte,int,int)",Sharpen.IO.BufferedOutputStream.Write(int)__NPOI.Util.ILittleEndianOutput.Write(byte)__ISignatureEvent.Write()
java.io.ByteArrayOutputStream.toString(int),ByteArrayOutputStream.ToString()__MemoryStream.ToString()
java.io.DataInput.readByte(),DataInput.ReadByte()
java.io.DataInputStream.readInt(),var.ReadInt()__iText.IO.Font.Woff2.Buffer.ReadInt()
java.io.FileOutputStream.getChannel(),FileOutputStream.GetChannel()
java.io.FileOutputStream.write(byte),FileOutputStream.Write()__FileStream.Write()__NumberToTextConversionExamples.Write()__FilePath.Write()__XWPFDocument.Write()
java.io.InputStream.close(),Sharpen.InputStream.Close()__ZipOutputStream.Close()__NGit.Util.IO.TimeoutOutputStream.Close()__System.IO.Stream.Close()__Transport.Close()__System.Close()__InputStream.Close()__HttpObjectDB.Close()__System.IO.StreamReader.Close()
java.io.InputStream.mark(int),MutableObjectId.Mark()__BufferedInputStream.Mark()
java.io.InputStream.skip(long),Sharpen.InputStream.Skip(long)
java.io.LineNumberReader.readLine(),LineNumberReader.readLine()__System.IO.TextReader.ReadLine()__iText.IO.Source.RandomAccessFileOrArray.ReadLine()__System.ReadLine()__System.IO.StreamReader.ReadLine()__BufferedReader.ReadLine()
java.io.PrintStream.close(),PrintStream.Close()__ZipFile.Close()__System.IO.StreamWriter.Close()__System.IO.StreamReader.Close()__System.IO.TextWriter.Close()__Sharpen.PrintWriter.Close()__System.Net.Sockets.Socket.Close()
java.io.RandomAccessFile.close(),Sharpen.RandomAccessFile.Close()__Sharpen.IO.RandomAccessFile.Close()__Db4objects.Db4o.CS.Internal.ClientTransactionPool.Close()__Db4objects.Db4o.CS.Foundation.IServerSocket4.Close()
java.io.RandomAccessFile.getChannel(),Sharpen.RandomAccessFile.GetChannel()
java.io.RandomAccessFile.write(byte),"Sharpen.RandomAccessFile.Write(int)__Db4objects.Db4o.Internal.Encoding.LatinStringIO.Write(IWriteBuffer,string)__Sharpen.IO.RandomAccessFile.Write(byte,int,int)__Db4objects.Db4o.Tests.Common.Acid.CrashSimulatingWrite.Write(string,RandomAccessFile,bool)"
java.io.Reader.read(char),"Reader.read()__System.IO.TextReader.Read()__InputStreamReader.Read()__HTMLStripCharFilter.read()__System.IO.StreamReader.Read()__IO.read()__Lucene.Net.Analysis.ReusableStringReader.Read(char,int,int)__FileInputStream.Read()__CharFilter.read()__FileStream.Read()__FileReader.Read()"
java.lang.CharSequence.length(),CharSequence.length()
java.lang.ClassLoader.getResourceAsStream(String),ClassLoader.getResourceAsStream()__Type.getResourceAsStream()
java.lang.Float.equals(Object),float.Equals()__Kernel.Equals()
java.lang.Integer.toString(),int.ToString()
java.lang.Object.equals(Object),"System.Object.Equals(Object,Object)__object.Equals()__Db4objects.Db4o.Internal.Btree.BTreeNode.Equals(object)__MergeInfo.Equals()"
java.lang.ProcessBuilder.start(),ProcessBuilder.Start()
"java.lang.String.codePointCount(int,int)",string.codePointCount()
java.lang.String.endsWith(String),System.String.EndsWith(String)__string.EndsWith()
java.lang.String.equals(Object),"System.String.Equals(String,StringComparison)__string.Equals()__Forms.Equals()__int.Equals()__Db4o.Equals()__Kernel.Equals()__TextWriter.Equals()__Match.Equals()"
java.lang.String.getBytes(Charset),String.GetBytes()__string.GetBytes()
"java.lang.String.lastIndexOf(String,int)","string.LastIndexOf()__System.String.LastIndexOf(String,int)"
java.lang.String.split(String),"string.Split()__System.String.Split(String,Int32,StringSplitOptions)__System.Text.RegularExpressions.Regex.Split(string,int)"
java.lang.String.substring(int),"string.Substring()__System.String.Substring(int,int)"
java.lang.String.toCharArray(),string.ToCharArray()__System.String.ToCharArray()__Kernel.ToCharArray()
java.lang.String.trim(),System.String.Trim(char)__StringBuilder.Trim()__string.Trim()
"java.lang.StringBuffer.insert(int,char,int,int)","System.Text.StringBuilder.Insert(int,float)"
java.lang.StringBuffer.substring(int),int.Substring()
java.lang.StringBuffer.toString(),"System.Text.StringBuilder.ToString(int,int)__iText.Barcodes.Qrcode.ByteMatrix.ToString()__SubRecord.ToString()__NPOI.DDF.EscherRecord.ToString()__NPOI.HSSF.Record.Aggregates.CFRecordsAggregate.ToString()__NPOI.OpenXmlFormats.Spreadsheet.CT_Font.ToString()"
java.lang.StringBuilder.toString(),"System.Text.StringBuilder.ToString(int,int)__var.ToString()__HTMLStripCharFilter.ToString()__NPOI.HWPF.Model.PlexOfField.ToString()__iText.Barcodes.Qrcode.Version.ToString()__RefListBuilder.ToString()"
java.lang.Thread.interrupt(),Lucene.Net.Support.ThreadClass.Interrupt()
"java.lang.Thread.join(long,int)","Lucene.Net.Support.ThreadClass.Join(long,int)__Sharpen.Join()__Sharpen.Lang.Thread.Join()__AtomicBoolean.Join()"
java.lang.Thread.start(),Sharpen.Start()__Lucene.Net.Support.ThreadClass.Start()__Sharpen.Lang.Thread.Start()__AtomicBoolean.Start()__System.Start()__var.Start()
"java.lang.ThreadLocal.set(ThreadLocal,Object)",ThreadLocal.Set()__Random.Set()
java.lang.ref.ReferenceQueue.poll(),ReferenceQueue.Poll()__File.Poll()
java.math.BigDecimal.equals(Object),TextWriter.Equals()__LineString.Equals()__Db4objects.Drs.Foundation.Signature.Equals(object)__IMethodRef.Equals()__IComparisonOperand.Equals()
java.math.BigDecimal.toString(),decimal.ToString()__double.ToString()
java.math.BigInteger.compareTo(BigInteger),NPOI.Util.BigInteger.CompareTo(BigInteger)
java.math.BigInteger.signum(),NPOI.Util.BigInteger.Signum()
"java.net.Socket.connect(SocketAddress,int)",System.Net.Sockets.Socket.Connect(EndPoint)
java.net.Socket.getInputStream(),ZipFile.GetInputStream()
java.net.Socket.toString(),Sharpen.ToString()__ISocket4.ToString()__iText.Kernel.Geom.Rectangle.ToString()__NPOI.HPSF.UnicodeString.ToString()__NetTopologySuite.Geometries.LineSegment.ToString()__IComparisonOperandAnchor.ToString()__NGit.Revwalk.Filter.RevFilter.ToString()
java.net.URL.toString(),System.Uri.ToString()__SpreadsheetVersion.ToString()__System.String.ToString(IFormatProvider)
java.nio.charset.Charset.name(),Encoding.Name()__System.Name()
java.util.zip.CRC32.update(int),Sharpen.CRC32.Update(int)
java.or(),Lucene.Net.Util.LongBitSet.Or(LongBitSet)
java.security.AlgorithmParameters.getEncoded(String),Org.BouncyCastle.Tsp.TimeStampRequest.GetEncoded()__TestOcspClient.GetEncoded()
java.security.KeyStore.isKeyEntry(String),Org.BouncyCastle.Pkcs.Pkcs12Store.IsKeyEntry(string)
java.security.MessageDigest.digest(byte),"IDigest.Digest()__BlockList.Digest()__MessageDigest.digest()__Sharpen.MessageDigest.Digest(byte,int,int)"
java.security.MessageDigest.reset(),IDigest.Reset()
java.sql.Ref.get(),"NGit.Storage.File.WindowCache.Get(PackFile,long)__int.Get()"
java.text.DateFormat.format(Date),"NPOI.SS.Util.FormatBase.Format(Object,StringBuilder,int)__SimpleDateFormat.Format()"
"java.text.DecimalFormat.format(double,StringBuffer,FieldDelegate)","DecimalFormat.Format()__NPOI.SS.Util.FormatBase.Format(Object,StringBuilder,int)"
"java.text.SimpleDateFormat.format(Date,StringBuffer,FieldDelegate)",Sharpen.SimpleDateFormat.Format(DateTime)__SimpleDateFormat.Format()
java.util.ArrayList.clear(),AList.Clear()__NGit.ObjectIdOwnerMap.Clear()__Lucene.Net.Index.DocumentsWriterDeleteQueue.Clear()__NGit.Dircache.DirCache.Clear()
java.util.ArrayList.get(int),GenericArray.Get()
java.util.ArrayList.isEmpty(),HashSet.IsEmpty()__List.IsEmpty()
java.util.ArrayList.remove(int),AList.Remove()__System.Collections.Generic.List.Remove(T)__System.Collections.Generic.Dictionary.Remove(TKey)
java.util.ArrayList.size(),ArrayIntList.Size()
"java.util.ArrayList.subList(int,int)",List.SubList()
java.util.Calendar.getTime(),Sharpen.JavaCalendar.GetTime()
java.util.Collection.add(E),System.Collections.Generic.ICollection.Add(T)__NetTopologySuite.Operation.Linemerge.LineMerger.Add(IGeometry)__PushResult.Add()__System.Data.Common.Utils.Set.Add(TElement)
java.util.Collection.iterator(),ICollection.Iterator()__Dictionary.Iterator()__HashSet.Iterator()
java.util.Date.toString(),PdfAcroForm.ToString()__DateTime.ToString()__Db4objects.Db4o.Internal.Query.Processor.QConObject.ToString()__ISocket4.ToString()__NGit.Revwalk.Filter.RevFilter.ToString()__NPOI.HPSF.UnicodeString.ToString()
java.util.EnumSet.clone(),EnumSet.Clone()
"java.util.GregorianCalendar.add(int,int)",GregorianCalendar.Add()
java.util.HashSet.clear(),Sharpen.TreeSet.Clear()
